employee_id,age,tenure_years,job_level,department,gender,job_role,location_state,salary,engagement_score,performance_rating,work_life_balance,overtime_hours,commute_distance_km,promotion_count,manager_changes,last_raise_pct,remote_ratio,is_contract,flight_risk
1,24,2.77342371800769,2,Finance,Male,Director,GA,80798.20354083914,53.36144299595489,2.0,3.0,0.0,24.559959922198907,0.3200553789678851,1,7.748986106979625,1.0,0,0
2,54,7.773073271562302,5,HR,Female,Director,CA,182659.40346034855,65.01155227782459,5.0,4.0,0.3969329910707664,22.974580283700362,1.9508882706117208,2,-0.8923666259379797,0.0,1,0
3,49,5.103835622555767,3,Finance,Male,Director,NC,116430.07561524866,75.09388934882776,4.0,2.0,18.59849334498223,0.0,1.2148889247429577,0,6.110792247914933,0.0,0,0
4,39,4.1516127525572895,2,Marketing,Female,Analyst,TX,90028.22671517044,67.3284479977055,3.0,3.0,0.15461829436027674,16.759255257914162,1.0505600631116896,1,6.967805900260883,1.0,0,0
5,39,4.681454208132271,1,Sales,Female,Director,NY,55552.25590047431,48.79737102627722,4.0,2.0,0.0,3.872801275028671,0.348558760758627,1,6.808516200434161,0.5,0,0
6,58,5.669366055218498,1,Marketing,Male,Associate,WA,54348.20801378626,84.8359693206331,2.0,3.0,12.211158559397756,17.557633164275686,1.2442511460153878,0,2.779916856377433,1.0,1,0
7,23,6.850442599069339,1,Sales,Female,Associate,FL,51094.15360093513,28.91782844585,3.0,2.0,15.503521795325254,0.0,2.2583243980620162,2,5.5558455147882295,1.0,0,0
8,51,2.000863313991856,4,Engineering,Male,Engineer,TX,154716.02558955114,63.30452267457347,4.0,2.0,16.614509810165657,0.0,0.0,2,1.6730287241039417,0.0,0,0
9,29,1.8752371021361842,2,Operations,Male,Analyst,GA,78577.48531215802,60.697023181691264,2.0,5.0,12.268436029745299,32.26840330608225,0.32269461227472424,0,3.1211617544586074,0.0,1,0
10,24,8.31403764620759,3,Marketing,Male,Associate,FL,89471.42807940011,72.22268316807123,4.0,3.0,13.410637740643468,22.428638112078726,2.5511455834507233,0,0.8711909821061994,0.0,0,0
11,43,3.762989383385808,1,Finance,Female,Manager,WA,61818.33027012408,78.42492711704104,4.0,3.0,5.370538518374793,13.754209830243996,0.6057796706103149,1,1.7240028119837438,0.0,0,0
12,63,0.7494737222093777,5,Engineering,Male,Analyst,TX,172612.18231737227,86.90147212391553,5.0,1.0,0.0,7.095080127765328,0.4190499868991879,0,3.27711301486264,1.0,0,0
